Komentar,Preprocessed Text,Sentiment
"""Semangat Rick untuk usaha barunya""",semangat rick usaha barunya,non-bulliying
"""Hadehh muka kaya tong sampah .""",hadehh muka kaya tong sampah,bulliying
"""banyak banget omongan kasar disini, tobat lah kawan kawan.. cukup comment kasar nya""",banget omongan kasar tobat kawan kawan comment kasar nya,non-bulliying
"""Ni org jelek ga ada obat.kok jj mau liat apa ya..""",ni org jelek ga obatkok jj liat ya,bulliying
"""Semangat bang, walaupun banyak orang yang ngejudge lu. Jangan peduliin mereka""",semangat bang orang ngejudge lu peduliin,non-bulliying
"""Tuhan yesus baik semangat rick""",tuhan yesus semangat rick,non-bulliying
"""Jangan di bales komen hate bang bikin sakit jempol, mending lanjut berkarya:)""",bales komen hate bang bikin sakit jempol mending berkarya,non-bulliying
"""Eh lo nyadar ga ? Udah dekil terus tatoan, jadi nya kaya daki haha""",eh lo nyadar ga udah dekil tatoan nya kaya daki haha,bulliying
"""jelek dapet selingkuhan jelek juga keren yaa imbang wkkw""",jelek dapet selingkuhan jelek keren yaa imbang wkkw,bulliying
"""Wah ngehina fisik ni orang,ga bener ya wkwkwkwk""",ngehina fisik ni orangga bener ya wkwkwkwk,non-bulliying
"""BUNUH DIRI LAH SONO GOBLOX""",bunuh sono goblox,bulliying
"""Sabar semua komentar ini ujian""",sabar komentar ujian,non-bulliying
"""Santai rick yg ngehujat lo belom tau perjalanan hidup lo aja! Mereka hanya sok suci!""",santai rick yg ngehujat lo belom tau perjalanan hidup lo aja sok suci,bulliying
"""Yang sabar yah,tetep semangat ngejar karirnya jangan dengerin kata orang mereka Cuma bisa ngebacot di komen doank""",sabar yahtetep semangat ngejar karirnya dengerin orang ngebacot komen doank,non-bulliying
"""Erick masuk neraka jalur selingkuh bos""",erick masuk neraka jalur selingkuh bos,bulliying
"""Trs berkarya walaupun brd di titik sprti ini""",trs berkarya brd titik sprti,non-bulliying
"""Stop lah ngatain orang lain lu pada itu yg ngatain orang lain ngaca dlu sebelum ngatain kayak suci aja hidup lu pada""",stop ngatain orang lu yg ngatain orang ngaca dlu ngatain kayak suci aja hidup lu,bulliying
"""Yang ngatain keknya idupnya gapernag bikin kesalahan""",ngatain keknya idupnya gapernag bikin kesalahan,non-bulliying
"""Jadi gila kau rupanya karna gak laku lagi di YouTube""",gila kau karna gak laku youtube,bulliying
"""Kasian yah sdh stress banyak masalah""",kasian yah sdh stress,bulliying
"""Kok jatohnya malah kek ajg sih rikkk""",jatohnya kek ajg sih rikkk,bulliying
"""Karir turun jadi autis kasian hahah""",karir turun autis kasian hahah,bulliying
"""erick yang kek gini yang gua kangenin, keep it up bruuh""",erick kek gini gua kangenin keep it up bruuh,bulliying
"""Udah mau autis iya bg awokawkk""",udah autis iya bg awokawkk,bulliying
"""Kasian masih muda udah stresss""",kasian muda udah stresss,bulliying
"""Banyak komen yg support malah ketutup yg hate bgst emang IG""",komen yg support ketutup yg hate bgst emang ig,non-bulliying
"""Maudy cantik na natural bnr2 cantik bgt, cantik luar dlm""",maudy cantik na natural bnr2 cantik bgt cantik dlm,non-bulliying
"""Bikin konten YouTube Student life at standford @maudyayunda seperti waktu S1 at Oxford. Fansmu pada nungguin nih.""",bikin konten youtube student life at standford maudyayunda s1 at oxford fansmu nungguin nih,non-bulliying
"""Aura org pinter emg shining ya bun @hy_dindut""",aura org pinter emg shining ya bun hydindut,non-bulliying
"""Paket lengkap deh.. udh cantik pintar lagi""",paket lengkap deh udh cantik pintar,non-bulliying
"""Sukaa bnget sm artis ini… nggak neko2.. dan natural bngett""",sukaa bnget sm artis ini… nggak neko2 natural bngett,non-bulliying
"""Cantik, pintar bertalenta, ortu mana yg gak kepengen punya anak kyk mba maudy""",cantik pintar bertalenta ortu yg gak kepengen anak kyk mba maudy,non-bulliying
"""Idih mak lampir, dibanding uya ma lu, lu bagaikan butiran debu,, lu dikenal karena bacot… rajin2 ngaca deh""",idih mak lampir dibanding uya ma lu lu butiran debu lu dikenal bacot… rajin2 ngaca deh,bulliying
"""Anjirlah muka lo kek kuntilanak malah sok cantik""",anjirlah muka lo kek kuntilanak sok cantik,bulliying
"""Mbak cadel yg bangga dengan cadelnya,, Harusnya sih kasihan karna cadel tapi lama"" jadi jijik kenapa gak sekalian bisu aja""",mbak cadel yg bangga cadelnya sih kasihan karna cadel jijik gak bisu aja,bulliying
"""Uda pinter, cantik gak kebanyakan tingkah. Perfect""",uda pinter cantik gak kebanyakan tingkah perfect,non-bulliying
"""Hati-hati mody jangan keluar sendirian jaga-jaga serangan brutal rasisme, wajahmu sekilas mirip onnie2 korea. Tetap waspada""",hatihati mody jagajaga serangan brutal rasisme wajahmu sekilas onnie2 korea waspada,non-bulliying
"""Bikin konten Youtube daily activity di Stanford dong kak @maudyayunda""",bikin konten youtube daily activity stanford kak maudyayunda,non-bulliying
"""Motivasi ku ka Maudy cantipp bngt""",motivasi ku ka maudy cantipp bngt,non-bulliying
"""Semoga kecerdasan Mbak Maudy bermanfaat bagi agama, nusa, dan bangsa.. Aamiin""",semoga kecerdasan mbak maudy bermanfaat agama nusa bangsa aamiin,non-bulliying
"""Damage nya cewek pinter gada lawann""",damage nya cewek pinter gada lawann,non-bulliying
"""cantikan waktu berisi dulu… sekarang kurus bgt, kurus begini auranya kurang""",cantikan berisi dulu… kurus bgt kurus auranya,bulliying
"""cantik sih, tapi sayang kurus ya. padahl udh nikah lo, kurang bahagia sama pernikahannya?""",cantik sih sayang kurus ya padahl udh nikah lo bahagia pernikahannya,bulliying
"""masih good vibes walaupun sedang lapar""",good vibes lapar,non-bulliying
"""kakak cantik bgt bismillah cerdasnya nular""",kakak cantik bgt bismillah cerdasnya nular,non-bulliying
"""Bego lu. Alam semesta dan seisinya pun serentak murka mendengarkan lagumu""",bego lu alam semesta seisinya serentak murka mendengarkan lagumu,bulliying
"""Dua2 nya cantik banget masya Allah""",dua2 nya cantik banget masya allah,non-bulliying
"""ka nisa mirip ariana grande masa""",ka nisa ariana grande,non-bulliying
"""Adiknya Kak Maudy, cantik, pinter, aura positifnya keluar, ramah, lemah lembut, rajin, sholeha""",adiknya kak maudy cantik pinter aura positifnya ramah lemah lembut rajin sholeha,non-bulliying
"""Sekilas yg abu mirip ariana grande haha""",sekilas yg abu ariana grande haha,non-bulliying
"""Yang satu nya mirip Ariana grande""",nya ariana grande,non-bulliying
"""Kakak sama adek sama sama cantik ya aku suka sama dua duanya""",kakak adek cantik ya suka duanya,non-bulliying
"""Rambutnya kak modd bagussss… Item berkilauu""",rambutnya kak modd bagussss… item berkilauu,non-bulliying
"""Cantik semua congrats kak msuk nominsi tc candler""",cantik congrats kak msuk nominsi tc candler,non-bulliying
"""Maudy enak bet dah cantik iya pinter iya""",maudy enak bet dah cantik iya pinter iya,non-bulliying
"""kukira dedeknya berdiri itu mau mukul bang jer pake ukulele… ternyata aku salah salah :""""",kukira dedeknya berdiri mukul bang jer pake ukulele… salah salah,non-bulliying
"""Bang jerome KLO nyanyiny kek gini bagus suaranya ganyangkaaa""",bang jerome klo nyanyiny kek gini bagus suaranya ganyangkaaa,non-bulliying
"""Sutan kamu sangat lucu dan menggemaskan""",sutan lucu menggemaskan,non-bulliying
"""Bang sering-sering dong buat vidio bareng sutan dia kayanya juga seneng ama bang jerom""",bang seringsering vidio bareng sutan kayanya seneng ama bang jerom,non-bulliying
"""Klu @jeromepoline buat video tapi berdua aja seharian sama anak kecil, hahah lucu juga gimana riwehnya""",klu jeromepoline video berdua aja seharian anak hahah lucu gimana riwehnya,non-bulliying
"""Muka lu kok cabul banget sih bg hahah""",muka lu cabul banget sih bg hahah,bulliying
"""Dari raut mukanya aja udh terlihat seperti org kalah judi dan tidak pernah makan enak""",raut mukanya aja udh org kalah judi makan enak,bulliying
"""Kak jerome kayak boneka tau hahah""",kak jerome kayak boneka tau hahah,non-bulliying
"""Mukbang makanan sehat dong kak. Salad jepang gituuu.""",mukbang makanan sehat kak salad jepang gituuu,non-bulliying
"""Yakinin dulu niatnya bg… Semoga sukses""",yakinin niatnya bg… semoga sukses,non-bulliying
"""Bang, aku nonton kamu setelah aku kerja di Jepang. Bermanfaat bgt kontennya jd gampang kalo mau nyari apa apa di Jepang""",bang nonton kerja jepang bermanfaat bgt kontennya jd gampang kalo nyari jepang,non-bulliying
"""Cuman rumus diet ini yg ga bisa dipecahka ya bang?""",cuman rumus diet yg ga dipecahka ya bang,non-bulliying
"""Perut makin maju tpi semangat jangan tak maju""",perut maju tpi semangat maju,non-bulliying
"""Pantesan kak Jessica bilang bang jerom beruang wkwkwk""",pantesan kak jessica bilang bang jerom beruang wkwkwk,non-bulliying
"""Aduhh susah klo urusan sma Jerome rumus matematika terus bahasannya… Apakah daya diriku yg lebih suka bhs Inggris drpd matematika""",aduhh susah klo urusan sma jerome rumus matematika bahasannya… daya diriku yg suka bhs inggris drpd matematika,non-bulliying
"""Kaya tulus ya mukanya klo diliat2""",kaya tulus ya mukanya klo diliat2,non-bulliying
"""Kak Jerome, bagi trik biar bisa paham dan ingat cepat rumus matematika, dung:)""",kak jerome trik biar paham cepat rumus matematika dung,non-bulliying
"""Baru x ini baca caption harus mikir dan pakai kalkulator cuyyy hahaha""",x baca caption mikir pakai kalkulator cuyyy hahaha,non-bulliying
"""Sumpah si kak, kemeja jeans bikin keliatan seger bgt mantap mantap""",sumpah si kak kemeja jeans bikin keliatan seger bgt mantap mantap,non-bulliying
"""Mirip ama aktor korea yg main di film reply 1988 yg jadi kaka nya jung hwan wkwk""",ama aktor korea yg main film reply 1988 yg kaka nya jung hwan wkwk,non-bulliying
"""iya bang jer terlihat berbeda klo pake style kayak gini lebih terlihat fresh anak gaul""",iya bang jer berbeda klo pake style kayak gini fresh anak gaul,non-bulliying
"""Klo style ke gini pas gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur""",klo style gini pas gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur,non-bulliying
"""Kok makin dewasa makin imutt aih cipaaaaaa""",dewasa imutt aih cipaaaaaa,bulliying
"""maniss bangettt pengen dah punya senyuman manis kayak ka syifaaa""",maniss bangettt pengen dah senyuman manis kayak ka syifaaa,non-bulliying
"""Nih orang manis bnget sihh ga ngerti lagi""",nih orang manis bnget sihh ga ngerti,non-bulliying
"""Kakak pinter nyanyi ya @syifahadjureal, suaranya bagus kak""",kakak pinter nyanyi ya syifahadjureal suaranya bagus kak,non-bulliying
"""Gk salah kalo kak syifa cantik mamahnya aja cantik bgtt!! Jujurr""",gk salah kalo kak syifa cantik mamahnya aja cantik bgtt jujurr,non-bulliying
"""Lelaki yg mendapatkan km. Adalah lelaki yg beruntung.""",lelaki yg km lelaki yg beruntung,non-bulliying
"""Kamu mirip bgt ayahmu kalo adikmu mirip bgt mamamu""",bgt ayahmu kalo adikmu bgt mamamu,non-bulliying
"""Kakak udah cantik sii, tapi cantikan lagi kalo pake hijab""",kakak udah cantik sii cantikan kalo pake hijab,non-bulliying
"""Gemeshh rasanya kaya aku pengen cubit""",gemeshh kaya pengen cubit,non-bulliying
"""@angelkmgi ini paling cute sih, ganteng parah msh kecil jg""",angelkmgi cute sih ganteng parah msh jg,non-bulliying
"""Pengen gw pacul mulut lo!! woii anjeng busuk""",pengen gw pacul mulut lo woii anjeng busuk,bulliying
"""Sering blg ke org2 artis cewek yg menurutku paling cantik syifa sama ziu""",blg org2 artis cewek yg menurutku cantik syifa ziu,non-bulliying
"""Ka cipa tu uda cantik, baik, manis bgt pula, manisnya tu nglebihin gula""",ka cipa tu uda cantik manis bgt manisnya tu nglebihin gula,non-bulliying
"""Dilihat sekilas pun tampak jelas kalau cantikkan syifa""",sekilas cantikkan syifa,non-bulliying
"""Setuju g sih? Si dia tetep cntik bgt meski g pke make up… lah aku g pke make up pucet bgt kyk g makan setahunn""",setuju g sih si tetep cntik bgt g pke make up… g pke make up pucet bgt kyk g makan setahunn,non-bulliying
"""dahlahh emang cantik luar dalam kmu ini cippp""",dahlahh emang cantik kmu cippp,non-bulliying
"""Muka cantik tanpa make up hini, bahagia bgt kali ya yg jadi suaminya, bisa liat bidadari setiap harinya.""",muka cantik make up hini bahagia bgt kali ya yg suaminya liat bidadari harinya,non-bulliying
"""Suka bgtt sm kak cipaa.. orangnya humble sm semua orang dan banyak temannya juga""",suka bgtt sm kak cipaa orangnya humble sm orang temannya,non-bulliying
"""Artis remaja di Indonesia yg manis bgt kalo senyum Cuma dia deh perasaan yg nempel di hati""",artis remaja indonesia yg manis bgt kalo senyum deh perasaan yg nempel hati,non-bulliying
"""Aku doakan perempuan baik yg bernama Nagita selalu sehat, bahagia lahir batin, dan banyak yang sayang sm dia..""",doakan perempuan yg bernama nagita sehat bahagia lahir batin sayang sm,non-bulliying
"""Rafathar nya mantull ni, pulang nggk jd nginep karna nggk ada temen mamany d rmh papany belum pulangg.. jd jagain dan temenin mama dulu  ya aa""",rafathar nya mantull ni pulang nggk jd nginep karna nggk temen mamany d rmh papany pulangg jd jagain temenin mama ya aa,non-bulliying
"""kultur kerja kaya gini menurut gw bagus si ga kapitalis banget, petingginya juga ikut kerja misal ngevlog atau endors, semoga gaji juga ga senjang si haha""",kultur kerja kaya gini gw bagus si ga kapitalis banget petingginya kerja ngevlog endors semoga gaji ga senjang si haha,non-bulliying
"""Pantas pada senang kerja di Rans.. mbak gigi nggak ngebossy..""",senang kerja rans mbak gigi nggak ngebossy,non-bulliying
"""Seneng yaa lihat orang sukses meeting. Ya Allah pengen sukses kayak gitu biar ada status di instastory""",seneng yaa lihat orang sukses meeting ya allah pengen sukses kayak gitu biar status instastory,non-bulliying
"""smga semua kelg dan crew sehat semua.. dan rejeki trs lancar ya kak gigi..""",smga kelg crew sehat rejeki trs lancar ya kak gigi,non-bulliying
"""Fokus ke nagita pas mau minum masih sempet baca doa. keren bgt hasil dari didikan orang tua nya""",fokus nagita pas minum sempet baca doa keren bgt hasil didikan orang tua nya,non-bulliying
"""Kasihan ya , Nagita punya suami kerjaannya berzinah terus""",kasihan ya nagita suami kerjaannya berzinah,bulliying
"""Koreaable banget face rafathar cakep ganteng manis banget""",koreaable banget face rafathar cakep ganteng manis banget,non-bulliying
"""MasyaAllah Rafathar tambah besar makin tambah ganteng bgt gk kuat ngeliat alisny…""",masyaallah rafathar ganteng bgt gk kuat ngeliat alisny…,non-bulliying
"""Kok mirip siwon ya lama2, apa perasaan gw aja.""",siwon ya lama2 perasaan gw aja,non-bulliying
"""Lucunya berasa kayak kaka dan adek""",lucunya berasa kayak kaka adek,non-bulliying
"""Itu wajah nagita kya masih umur 20an""",wajah nagita kya umur 20an,non-bulliying
"""Foto no edit edit ya saayy kamera nyaa bening,,, model fotonya pun juga bening gak perlu pakai filter tipu tipu""",foto no edit edit ya saayy kamera nyaa bening model fotonya bening gak pakai filter tipu tipu,bulliying
"""Look-nya Rafathar emang gak bisa dipungkiri, diborong gen mama gigi semua HAHA.""",looknya rafathar emang gak dipungkiri diborong gen mama gigi haha,non-bulliying
"""Nagita masa kaya anak muda coba cantikk bangeett""",nagita kaya anak muda coba cantikk bangeett,non-bulliying
"""Masyaallah mamany cantik anakny ganteng, perfect""",masyaallah mamany cantik anakny ganteng perfect,non-bulliying
"""Kaya adek kakak.. kak gigi keliatan muda banget""",kaya adek kakak kak gigi keliatan muda banget,non-bulliying
"""Tambah gede aja rafathar ya tambah pinter ya Rafathar""",gede aja rafathar ya pinter ya rafathar,non-bulliying
"""Mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda""",mama gigi rambutnya pirang cantik muda,non-bulliying
"""OOTD mama gigi simple tapi elegan dilihat nya, masyaallah""",ootd mama gigi simple elegan nya masyaallah,non-bulliying
"""Masyaallah mamah gigi bening bet dah, sehat selalu mamah gigi dn keluarga""",masyaallah mamah gigi bening bet dah sehat mamah gigi dn keluarga,non-bulliying
"""mama gigi ketemu gajah. gajahnya seneng sampai ketawa gitu ahhaha.""",mama gigi ketemu gajah gajahnya seneng ketawa gitu ahhaha,non-bulliying
"""Ya allah ga tau knp ak suka setiap lihat nagita pake dress modelnya cakep cakep""",ya allah ga tau knp ak suka lihat nagita pake dress modelnya cakep cakep,non-bulliying
"""i see beauty in everything mba gigi sehat selalu sama dede bayi nya""",i see beauty in everything mba gigi sehat dede bayi nya,non-bulliying
"""Mama gigi cantik banget… look younger than her age.. love mama gigi""",mama gigi cantik banget… look younger than her age love mama gigi,non-bulliying
"""Semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas""",semoga adeknya rafathar anak tangguh kuat cerdas,non-bulliying
"""Pakaian apapun yg dipake mama gigi selalu keceee""",pakaian apapun yg dipake mama gigi keceee,non-bulliying
"""Terima kasih kak Nagita @raffinagita1717 sudah support Molly si gajah dan satwa-satwa di Bali Zoo lainnya dengan kunjungannya bersama keluarga""",terima kasih kak nagita raffinagita1717 support molly si gajah satwasatwa bali zoo kunjungannya keluarga,non-bulliying
"""Kaya ny gajahnya merasakan aura positif nya mb gigi itu… kelihatan sumringah jg gajahnya loo..""",kaya ny gajahnya merasakan aura positif nya mb gigi itu… sumringah jg gajahnya loo,non-bulliying
"""Manis banget mbak gigi.. Masya Allah.. hamil semakin bersinar..""",manis banget mbak gigi masya allah hamil bersinar,non-bulliying
"""Mama gigi gapernah ga cantik sih kalo menurut aku.""",mama gigi gapernah ga cantik sih kalo,non-bulliying
"""Semoga sehat selalu bayi dalam kandungan nya sama ibunya ya.""",semoga sehat bayi kandungan nya ibunya ya,non-bulliying
"""Cantik banget semoga sehat selalu kakak panutan""",cantik banget semoga sehat kakak panutan,non-bulliying
"""MasyaAllah selalu mempesona baik kaum adam maupun kaum hawa""",masyaallah mempesona kaum adam kaum hawa,non-bulliying
"""Gak ada orang lain yang bangun tidur siang secantik ini selain ka yaya""",gak orang bangun tidur siang secantik ka yaya,non-bulliying
"""makin tua makin muda yehh mukanya, mana cantik bngett mo nangiss ampun cantik terus ka yaya""",tua muda yehh mukanya cantik bngett mo nangiss ampun cantik ka yaya,non-bulliying
"""Gapaham lagi cakeup nya natural Masyaallah""",gapaham cakeup nya natural masyaallah,non-bulliying
"""Raisa mah tipe cantik tapi sopan santun pakaiannya""",raisa mah tipe cantik sopan santun pakaiannya,non-bulliying
"""ka yayaaa, why are you always stunning pretty girl.""",ka yayaaa why are you always stunning pretty girl,non-bulliying
"""Ya Allah ni orang apa peri, cantik amatt""",ya allah ni orang peri cantik amatt,non-bulliying
"""Kenapa cantik banget aku heran dilihat dari samping kanan kiri depan dll tetep aja cantik""",cantik banget heran samping kanan kiri dll tetep aja cantik,non-bulliying
"""BISA BERHENTI CAKEP GA KAKK? PUSINGGGG IH""",berhenti cakep ga kakk pusingggg ih,non-bulliying
"""Cantik bajunya keren warnanya bikin pangling""",cantik bajunya keren warnanya bikin pangling,non-bulliying
"""Sudah dongggg dan sudah di liked juga.. congratulations""",dongggg liked congratulations,bulliying
"""Udaaaahh nontonnnnn.. lagunya bajunya makeup dan hairdo nyaaa sukaakkkk""",udaaaahh nontonnnnn lagunya bajunya makeup hairdo nyaaa sukaakkkk,non-bulliying
"""Raisa sekarang ngak monoton…. Jadi suka deh…. Sering2 kek gini….""",raisa ngak monoton… suka deh… sering2 kek gini…,non-bulliying
"""udah dong. Lagi ngunyah aja cute banget""",udah ngunyah aja cute banget,non-bulliying
"""Penyihir secantik ini gue rela dikutuk jadi tokek laut""",penyihir secantik gue rela dikutuk tokek laut,non-bulliying
"""Ya ampun kak makan apa sih kok bisa cantik banget""",ya ampun kak makan sih cantik banget,non-bulliying
"""Ya allah kek anak yg msh batita klo lg ngambek manyunnya begitu, gemes hahaha""",ya allah kek anak yg msh batita klo lg ngambek manyunnya gemes hahaha,non-bulliying
"""Aku udah. Dan sumpah bagus banget. Serasa liat cerita disney gitu""",udah sumpah bagus banget serasa liat cerita disney gitu,non-bulliying
"""lu lebih gak sopan, mukak lu kayak babi!""",lu gak sopan mukak lu kayak babi,bulliying
"""ya Allah kenapa begitu sempurna sih ciptaanmu yg satu in""",ya allah sempurna sih ciptaanmu yg in,non-bulliying
"""Ragu aja cantiknya udh kek gini, gmn kl yakin yak, cantiknya kek apa, heran""",ragu aja cantiknya udh kek gini gmn kl yak cantiknya kek heran,bulliying
"""Bukan keliatan ragu, tapi keliatan cantik""",keliatan ragu keliatan cantik,non-bulliying
"""Warna yang paling bikin Raisa makin shinning itu merah, hitam, putih, pink and emerald""",warna bikin raisa shinning merah hitam putih pink and emerald,non-bulliying
"""Raisa pake baju merah sumpahh cantik bgttt""",raisa pake baju merah sumpahh cantik bgttt,non-bulliying
"""Liriknya pendek tp susah di hafal pas awal awal, begitu di puter beberapa kali eh kok candu banget""",liriknya pendek tp susah hafal pas puter kali eh candu banget,non-bulliying
"""Demi apa, Kak Yaya gk pernah ngeRAGUin para pendengar lagu2 nya""",kak yaya gk ngeraguin pendengar lagu2 nya,non-bulliying
"""Ka yaya kalo ragu tetep secantik itu yah :"")""",ka yaya kalo ragu tetep secantik yah,non-bulliying
"""Ragu aja cantik kan kak, apalagi kalau serius""",ragu aja cantik kak serius,non-bulliying
"""Ngga alay. Ngga muluk muluk. Natural. Sukaaaa",ngga alay ngga muluk muluk natural sukaaaa,non-bulliying
"""seru bgt gemoy, tim berkebun plus tim alam bgt niiii""",seru bgt gemoy tim berkebun plus tim alam bgt niiii,non-bulliying
"""nikmatnya bisa menghirup oksigen dengan bebas ya :)""",nikmatnya menghirup oksigen bebas ya,non-bulliying
"""Slide kedua mukanya mau gaya apa aja tetep cantikk""",slide mukanya gaya aja tetep cantikk,non-bulliying
"""mba isyana foto gelap2an gini aja aesthetic bgt ya""",mba isyana foto gelap2an gini aja aesthetic bgt ya,non-bulliying
"""mba isyana udah cantik suaranya bagus kompeten pula, ah sukaaaa""",mba isyana udah cantik suaranya bagus kompeten ah sukaaaa,non-bulliying
"""Ga Taulah aku juga suka banget sama gayanya isyan""",ga taulah suka banget gayanya isyan,non-bulliying
"""Kangen nonton konser isyan secara lgsg, meskipun msh bisa virtual, Cuma experience-nya lebih dapat aja gitu""",kangen nonton konser isyan lgsg msh virtual experiencenya aja gitu,non-bulliying
"""Congrats ka @isyanasarasvati, terus berkarya, makin sukses… dan terus mnjd inpirasi kita semua…""",congrats ka isyanasarasvati berkarya sukses… mnjd inpirasi semua…,non-bulliying
"""Congrats kak, kamu memang pantes mendapatkannya""",congrats kak pantes mendapatkannya,non-bulliying
"""Saya berharap kak @isyanasarasvati panjang umur. Sehingga bisa jadi inspirasi untuk musisi seluruh Indonesia. Saya suka musik indonesia dengan adanya kak Isyana""",berharap kak isyanasarasvati umur inspirasi musisi indonesia suka musik indonesia kak isyana,non-bulliying
"""Udah cantik, rada gesrek tapi ya ini banyak kelebihannya, semangat tetap produktif""",udah cantik rada gesrek ya kelebihannya semangat produktif,non-bulliying
"""Gatau lagi, serasa nonton wtf beneran di jkt meski virtual and thankyouu for the performance kak syan! Selalu keren dan pecah! Tak pernah sekalipun mengecewakan""",gatau serasa nonton wtf beneran jkt virtual and thankyouu for the performance kak syan keren pecah mengecewakan,non-bulliying
"""Walaupun ga pernah lihat ka isyana live beneran di panggung. Tp aku terpesona bgt ama live virtual asli keren""",ga lihat ka isyana live beneran panggung tp terpesona bgt ama live virtual asli keren,non-bulliying
"""yash we the fest even virtual tapi tetep keren bgt kak syann huaaa energi nya dpt bgt""",yash we the fest even virtual tetep keren bgt kak syann huaaa energi nya dpt bgt,non-bulliying
"""Keren banget!!! walaupun sebentar tapi mantap abis! Ditunggu karya selanjutnya ya kak! Stay safe and healthy isyana ku""",keren banget sebentar mantap abis ditunggu karya ya kak stay safe and healthy isyana ku,non-bulliying
"""makaseh jugaa kakaaa inyeeuuuu semoga aku bisa pantang menyerah seperti kakak dan teman musisi lainnya yaaa""",makaseh jugaa kakaaa inyeeuuuu semoga pantang menyerah kakak teman musisi yaaa,non-bulliying
"""Thank you juga, Syan! Seneng banget kemarin haha! Semoga setelah pandemi ini, semua rencana dilancarkan ya, Syan!""",thank you syan seneng banget kemarin haha semoga pandemi rencana dilancarkan ya syan,non-bulliying
"""hua seneng bgt kmrn walaupun Cuma 35 menitan tp seneng liat isyan, adaptasi kebiasaan baruku semoga bisa lebih teratur maemnya, ditunggu karya selanjutnya kaka""",hua seneng bgt kmrn 35 menitan tp seneng liat isyan adaptasi kebiasaan baruku semoga teratur maemnya ditunggu karya kaka,non-bulliying
"""senang akhirnya indonesia bisa mempunyai musisi idealis berkualitas tinggi yg masih bisa terus berkarya & diapresiasi oleh banyak orang…""",senang indonesia musisi idealis berkualitas yg berkarya diapresiasi orang…,non-bulliying
"""Berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri… biar musik Indonesia lebih berwarna""",berharap menghadirkan musisi dgn genre dr yg industri… biar musik indonesia berwarna,non-bulliying
"""congrats kak isyan semoga semua impian-impian baiknya segera bisa terwujud aamiin""",congrats kak isyan semoga impianimpian baiknya terwujud aamiin,non-bulliying
"""Bener bener idola, dr musisi yang dipandang sebelah mata sampe buat label musik sendiri, congrats syan""",bener bener idola dr musisi dipandang sebelah mata sampe label musik congrats syan,non-bulliying
"""CONGRATS KAK ISYAN semoga karya nya apa yg dilakukan kakak sukses teruss""",congrats kak isyan semoga karya nya yg kakak sukses teruss,non-bulliying
"""ORANG INI TERLIHAT SANGAT SANGAT STRES DAN GILA""",orang stres gila,non-bulliying
"""Gua kalai jadi tuhan gaakan gua jadiin dia ini manusia, lebih pante ga hidup ini orang di dunia, akhlaknya gaada tolol bangsat""",gua kalai tuhan gaakan gua jadiin manusia pante ga hidup orang dunia akhlaknya gaada tolol bangsat,bulliying
"""Biasa nya aq nangis kalo lagu nya seiihh, kalo sekarang nangis karna saking bagus nya lagu nya""",nya aq nangis kalo lagu nya seiihh kalo nangis karna saking bagus nya lagu nya,non-bulliying
"""definisi minat ketemu bakat ketemu kerja keras""",definisi minat ketemu bakat ketemu kerja keras,non-bulliying
"""@vnagstn astaga si isyana keren banget ini; bisa ada musisi lokal yang selera musiknya kayak gini""",vnagstn astaga si isyana keren banget musisi lokal selera musiknya kayak gini,non-bulliying
"""MashaAllah… udh cantik, pinter, jago nyanyi dn mainin alat musik pula neng @isyanasarasvati ngefans bener ini mah""",mashaallah… udh cantik pinter jago nyanyi dn mainin alat musik neng isyanasarasvati ngefans bener mah,non-bulliying
"""Gilaaaa.. gila.. gilaaaa Tangan, kaki, ekspresi, n emosi tertuang adi suatu karya yg fantastis""",gilaaaa gila gilaaaa tangan kaki ekspresi n emosi tertuang adi karya yg fantastis,non-bulliying
"""Gosh, tiap kali lihat isyana mainin alat musik kaya lihat jiwanya beda. Merinding gila. Kaya kepribadiannya jadi serius bangett""",gosh kali lihat isyana mainin alat musik kaya lihat jiwanya beda merinding gila kaya kepribadiannya serius bangett,non-bulliying
"""Sumpah demi allah bagus bangett kereennn merinding ak nya.. dengerin sampe abis tiba2 aja ampe netesin air mata""",sumpah allah bagus bangett kereennn merinding ak nya dengerin sampe abis tiba2 aja ampe netesin air mata,non-bulliying
"""aku memutuskan untuk menjadi fans isyana. gila keren banget ya, otak mereka berdua bisa berfungsi dg menjalankan perintah ke tangan dan kaki, di waktu bersamaan""",memutuskan fans isyana gila keren banget ya otak berdua berfungsi dg menjalankan perintah tangan kaki bersamaan,non-bulliying
"""AMZING ISYANAA!! Jujur aku amazed banget dengan skill dan minat Isyana dalam bermusik. Ga Cuma bernyanyi tapi main alat musik pun jago banget""",amzing isyanaa jujur amazed banget skill minat isyana bermusik ga bernyanyi main alat musik jago banget,non-bulliying
"""paling ngiri liat orang keren maen alat musik dan dalem banget nikmatin permainan sendiri""",ngiri liat orang keren maen alat musik dalem banget nikmatin permainan,non-bulliying
